"506,2018,244,145,-3.952,0,15.7,13.22"
"506,2018,244,146,-4.257,.003,15.69,13.22"
"506,2018,244,147,-4.361,0,15.66,13.22"
"506,2018,244,148,-4.623,0,15.62,13.21"
"506,2018,244,149,-4.585,-.061,15.61,13.21"
"506,2018,244,150,-4.546,0,15.59,13.21"
"506,2018,244,151,-4.515,-.1,15.58,13.22"
"506,2018,244,152,-4.427,-.016,15.6,13.21"
"506,2018,244,153,-4.353,-.023,15.59,13.21"
"506,2018,244,154,-4.295,-.055,15.57,13.21"
"506,2018,244,155,-4.338,-.016,15.55,13.21"
"506,2018,244,156,-4.376,-.119,15.54,13.22"
"506,2018,244,157,-4.469,-.042,15.53,13.22"
"506,2018,244,158,-4.604,-.055,15.53,13.22"
"506,2018,244,159,-4.511,-.026,15.52,13.22"
"506,2018,244,200,-4.473,-.023,15.52,13.21"
"506,2018,244,201,-4.38,0,15.53,13.21"
"506,2018,244,202,-4.28,0,15.54,13.21"
"506,2018,244,203,-4.226,0,15.54,13.22"
"506,2018,244,204,-4.106,0,15.55,13.21"
"506,2018,244,205,-4.021,0,15.55,13.21"
"506,2018,244,206,-4.029,.003,15.58,13.22"
"506,2018,244,207,-3.794,.026,15.65,13.21"
"506,2018,244,208,-3.67,.158,15.65,13.21"
"506,2018,244,209,-3.875,.026,15.61,13.22"
"506,2018,244,210,-3.898,.003,15.6,13.22"
"506,2018,244,211,-3.921,0,15.57,13.22"
"506,2018,244,212,-3.944,.003,15.56,13.22"
"506,2018,244,213,-4.145,.019,15.55,13.21"
"506,2018,244,214,-4.168,.035,15.57,13.22"
"506,2018,244,215,-4.199,0,15.56,13.22"
"506,2018,244,216,-4.438,-.003,15.52,13.22"
"506,2018,244,217,-4.623,.003,15.52,13.21"
"506,2018,244,218,-4.423,0,15.53,13.22"
"506,2018,244,219,-4.496,0,15.51,13.22"
"506,2018,244,220,-4.523,0,15.49,13.22"
"506,2018,244,221,-4.407,.003,15.49,13.21"
"506,2018,244,222,-4.334,0,15.5,13.21"
"506,2018,244,223,-4.346,.003,15.51,13.22"
"506,2018,244,224,-4.276,.013,15.52,13.22"
"506,2018,244,225,-4.191,.003,15.54,13.22"
"506,2018,244,226,-4.28,0,15.53,13.22"
"506,2018,244,227,-4.438,-.023,15.51,13.22"
"506,2018,244,228,-4.376,.003,15.51,13.21"
"506,2018,244,229,-4.353,.003,15.51,13.22"
"506,2018,244,230,-4.38,0,15.52,13.21"
"506,2018,244,231,-4.423,.003,15.52,13.22"
"506,2018,244,232,-4.5,.019,15.53,13.22"
"506,2018,244,233,-4.67,.003,15.51,13.22"
"506,2018,244,234,-4.651,-.003,15.52,13.22"
"506,2018,244,235,-4.62,0,15.55,13.22"
"506,2018,244,236,-4.6,-.019,15.53,13.22"
"506,2018,244,237,-4.577,-.013,15.54,13.22"
"506,2018,244,238,-4.516,.003,15.54,13.22"
"506,2018,244,239,-4.558,0,15.52,13.22"
"506,2018,244,240,-4.593,0,15.51,13.23"
"506,2018,244,241,-4.716,-.103,15.49,13.22"
"506,2018,244,242,-4.67,-.2,15.47,13.22"
"506,2018,244,243,-4.705,-.135,15.48,13.22"
"506,2018,244,244,-4.604,0,15.52,13.22"
"506,2018,244,245,-4.658,0,15.53,13.22"
"506,2018,244,246,-4.631,-.032,15.53,13.23"
"506,2018,244,247,-4.72,-.132,15.47,13.22"
"506,2018,244,248,-4.793,-.216,15.44,13.22"
"506,2018,244,249,-5.021,-.352,15.41,13.23"
"506,2018,244,250,-5.125,-.384,15.39,13.22"
"506,2018,244,251,-5.249,-.348,15.41,13.23"
"506,2018,244,252,-5.226,-.342,15.46,13.22"
"506,2018,244,253,-5.311,-.281,15.49,13.22"
"506,2018,244,254,-5.477,-.332,15.46,13.22"
"506,2018,244,255,-5.793,-.394,15.4,13.22"
"506,2018,244,256,-5.924,-.436,15.36,13.23"
"506,2018,244,257,-6.009,-.687,15.3,13.22"
"506,2018,244,258,-5.959,-.516,15.32,13.23"
"506,2018,244,259,-5.808,-.471,15.32,13.22"
"506,2018,244,300,-5.801,-.545,15.3,13.22"
"506,2018,244,301,-5.889,-.723,15.26,13.22"
"506,2018,244,302,-6.001,-.606,15.25,13.23"
"506,2018,244,303,-6.04,-.471,15.27,13.23"
"506,2018,244,304,-5.963,-.41,15.31,13.23"
"506,2018,244,305,-5.897,-.423,15.33,13.23"
"506,2018,244,306,-5.782,-.513,15.27,13.23"
"506,2018,244,307,-5.866,-.465,15.19,13.23"
"506,2018,244,308,-5.959,-.439,15.15,13.23"
"506,2018,244,309,-5.975,-.481,15.12,13.23"
"506,2018,244,310,-5.967,-.519,15.1,13.23"
"506,2018,244,311,-5.828,-.413,15.09,13.23"
"506,2018,244,312,-5.573,-.397,15.09,13.23"
"506,2018,244,313,-5.593,-.336,15.08,13.23"
"506,2018,244,314,-5.558,-.2,15.07,13.23"
"506,2018,244,315,-5.365,-.184,15.07,13.23"
"506,2018,244,316,-5.164,-.019,15.06,13.23"
"506,2018,244,317,-5.126,-.013,15.07,13.23"
"506,2018,244,318,-4.995,0,15.07,13.23"
